id,value
Brands,
Brands.APPLE,
Brands.APPLE.andhra pradesh,
Brands.APPLE.andhra pradesh.I phone xs Max 128gb,1
Brands.APPLE.delhi,
Brands.APPLE.delhi.IPHONE 5 16GB LTE,1
Brands.APPLE.Gujarat,
Brands.APPLE.Gujarat.6s,1
Brands.APPLE.Gujarat.IPHONE XR 64GB ESIM NFC LTE,1
Brands.APPLE.tamil nadu,
Brands.APPLE.tamil nadu.6s,1
Brands.LG,
Brands.LG.andhra pradesh,
Brands.LG.andhra pradesh.20LF460A,1
Brands.LG.bihar,
Brands.LG.bihar.24LB454A,1
Brands.LG.bihar.24LF515A,1
Brands.LG.bihar.24LH452A,1
Brands.LG.bihar.26LV2130,1
Brands.LG.bihar.28LB452A,1
Brands.LG.Chattisgarh,
Brands.LG.Chattisgarh.6s,1
Brands.LG.delhi,
Brands.LG.delhi.24LF458A,1
Brands.LG.delhi.24LH454A,1
Brands.LG.delhi.32LJ522D,1
Brands.LG.delhi.32LJ573D,1
Brands.LG.delhi.32LK526BPTA,1
Brands.LG.karnataka,
Brands.LG.karnataka.24LH454A,1
Brands.LG.karnataka.32LA6200,1
Brands.LG.maharashtra,
Brands.LG.maharashtra.24lk454A,1
Brands.LG.rajasthan,
Brands.LG.rajasthan.24MN33S,1
Brands.LG.Tamil Nadu-Pondicherry,
Brands.LG.Tamil Nadu-Pondicherry.22LF460A,1
Brands.LG.Tamil Nadu-Pondicherry.24LK454A-PT,1
Brands.LG.Tamil Nadu-Pondicherry.32LK510BPTA,1
Brands.LG.Tamil Nadu-Pondicherry.32LK526BPTA,1
Brands.LG.uttar pradesh,
Brands.LG.uttar pradesh.20LB452A,1
Brands.LG.uttar pradesh.22LB452A,1
Brands.LG.uttar pradesh.24LH454A,2
Brands.LG.uttar pradesh.24LJ470A,2
Brands.LG.uttar pradesh.32LJ5730-TA,1
Brands.LG.uttar pradesh.32LJ573D,1
Brands.LG.uttar pradesh.43LJ554T,1
Brands.MI,
Brands.MI.andhra pradesh,
Brands.MI.andhra pradesh.6A,2
Brands.MI.andhra pradesh.redme 7 s 3-32,1
Brands.MI.andhra pradesh.REDMI NOTE 4 32GB,1
Brands.MI.andhra pradesh.REDMI note 7 pro,1
Brands.MI.Assam & North East,
Brands.MI.Assam & North East.Redmi 7A 2+16,1
Brands.MI.bihar,
Brands.MI.bihar.A1 4GB-64GB,1
Brands.MI.bihar.mi note 7s,3
Brands.MI.bihar.redme note 7s 4-64,1
Brands.MI.bihar.REDMI 6 32GB LTE,1
Brands.MI.bihar.REDMI 6 PRO 32GB DUAL LTE,1
Brands.MI.bihar.Redmi 7,2
Brands.MI.bihar.REDMI 7A,4
Brands.MI.bihar.REDMI note 7 pro,4
Brands.MI.bihar.REDMI Y2  3GB-32GB,2
Brands.MI.delhi,
Brands.MI.delhi.6A,
Brands.MI.delhi.REDMI 3S,
Brands.MI.delhi.REDMI 7A,
Brands.MI.delhi.Redmi 7A 2+16,
Brands.MI.delhi.REDMI GO,
Brands.MI.delhi.REDMI Y2  3GB-32GB,
Brands.MI.delhi.REDMI Y2 64GB,
Brands.MI.delhi.Redmi Y3,
Brands.MI.Gujarat,
Brands.MI.Gujarat.REDMI 6 64GB 3GB LTE,2
Brands.MI.Gujarat.REDMI 7A,1
Brands.MI.Gujarat.Redmi Y3,1
Brands.MI.haryana,
Brands.MI.haryana.REDMI 6,1
Brands.MI.haryana.REDMI 6 64GB 3GB LTE,1
Brands.MI.haryana.REDMI 6A 16GB LTE,2
Brands.MI.haryana.REDMI 7A,2
Brands.MI.haryana.REDMI NOTE 7s,1
Brands.MI.haryana.REDMI Y2 64GB,1
Brands.MI.himachal pradesh,
Brands.MI.himachal pradesh.6 3-64,2
Brands.MI.himachal pradesh.Go 1-16,4
Brands.MI.himachal pradesh.mi note 7s,1
Brands.MI.himachal pradesh.redme note 7s 4-64,1
Brands.MI.himachal pradesh.Redmi 7,1
Brands.MI.himachal pradesh.REDMI 7A,2
Brands.MI.himachal pradesh.REDMI GO,3
